tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1315,0,0,6,0,0,0,Sp2,0,0,3,12,0,0,PAN,PSA,Para,6,3,4,3,12
1316,0,0,0,26,0,0,Sp1,0,0,3,12,0,0,PSA,PAN,Para,26,4,3,12,3
1316,0,0,2,0,0,0,Sp2,0,0,3,12,0,0,PAN,PSA,Para,2,3,4,3,12
1317,0,0,0,14,0,0,Sp1,0,0,3,12,0,0,PSA,PAN,Para,14,4,3,12,3
1317,0,0,0,0,0,0,Sp2,0,0,3,12,0,0,PAN,PSA,Para,0,3,4,3,12
1320,0,0,0,18,0,0,Sp1,0,0,3,12,0,0,PSA,PAN,Para,18,4,3,12,3
1320,0,0,20,0,0,0,Sp2,0,0,3,12,0,0,PAN,PSA,Para,20,3,4,3,12
1447,0,0,0,0,8.5,0,Sp1,0,0,3,0,3,0,SIM,PAN,Para,8.5,5,3,3,3
1447,0,0,9,0,0,0,Sp2,0,0,3,0,3,0,PAN,SIM,Para,9,3,5,3,3
1448,0,0,0,0,13.5,0,Sp1,0,0,3,0,3,0,SIM,PAN,Para,13.5,5,3,3,3
1448,0,0,9,0,0,0,Sp2,0,0,3,0,3,0,PAN,SIM,Para,9,3,5,3,3
1449,0,0,0,0,18.5,0,Sp1,0,0,3,0,3,0,SIM,PAN,Para,18.5,5,3,3,3
1449,0,0,3,0,0,0,Sp2,0,0,3,0,3,0,PAN,SIM,Para,3,3,5,3,3
1452,0,0,0,0,22.5,0,Sp1,0,0,3,0,3,0,SIM,PAN,Para,22.5,5,3,3,3
1452,0,0,4,0,0,0,Sp2,0,0,3,0,3,0,PAN,SIM,Para,4,3,5,3,3
1459,0,0,0,0,14.5,0,Sp1,0,0,6,0,3,0,SIM,PAN,Para,14.5,5,3,3,6
1459,0,0,20,0,0,0,Sp2,0,0,6,0,3,0,PAN,SIM,Para,20,3,5,6,3
1460,0,0,0,0,7,0,Sp1,0,0,6,0,3,0,SIM,PAN,Para,7,5,3,3,6
1460,0,0,5,0,0,0,Sp2,0,0,6,0,3,0,PAN,SIM,Para,5,3,5,6,3
1461,0,0,0,0,16.5,0,Sp1,0,0,6,0,3,0,SIM,PAN,Para,16.5,5,3,3,6
1461,0,0,27,0,0,0,Sp2,0,0,6,0,3,0,PAN,SIM,Para,27,3,5,6,3
1464,0,0,0,0,25,0,Sp1,0,0,6,0,3,0,SIM,PAN,Para,25,5,3,3,6
1464,0,0,12,0,0,0,Sp2,0,0,6,0,3,0,PAN,SIM,Para,12,3,5,6,3
1471,0,0,0,0,12.5,0,Sp1,0,0,9,0,3,0,SIM,PAN,Para,12.5,5,3,3,9
1471,0,0,25,0,0,0,Sp2,0,0,9,0,3,0,PAN,SIM,Para,25,3,5,9,3
1472,0,0,0,0,17,0,Sp1,0,0,9,0,3,0,SIM,PAN,Para,17,5,3,3,9
1472,0,0,14,0,0,0,Sp2,0,0,9,0,3,0,PAN,SIM,Para,14,3,5,9,3
1473,0,0,0,0,16.5,0,Sp1,0,0,9,0,3,0,SIM,PAN,Para,16.5,5,3,3,9
1473,0,0,22,0,0,0,Sp2,0,0,9,0,3,0,PAN,SIM,Para,22,3,5,9,3
1476,0,0,0,0,27,0,Sp1,0,0,9,0,3,0,SIM,PAN,Para,27,5,3,3,9
1476,0,0,25,0,0,0,Sp2,0,0,9,0,3,0,PAN,SIM,Para,25,3,5,9,3
1483,0,0,0,0,13,0,Sp1,0,0,12,0,3,0,SIM,PAN,Para,13,5,3,3,12
1483,0,0,19,0,0,0,Sp2,0,0,12,0,3,0,PAN,SIM,Para,19,3,5,12,3
1484,0,0,0,0,11,0,Sp1,0,0,12,0,3,0,SIM,PAN,Para,11,5,3,3,12
1484,0,0,22,0,0,0,Sp2,0,0,12,0,3,0,PAN,SIM,Para,22,3,5,12,3
1485,0,0,0,0,21,0,Sp1,0,0,12,0,3,0,SIM,PAN,Para,21,5,3,3,12
1485,0,0,18.5,0,0,0,Sp2,0,0,12,0,3,0,PAN,SIM,Para,18.5,3,5,12,3
1488,0,0,0,0,19.5,0,Sp1,0,0,12,0,3,0,SIM,PAN,Para,19.5,5,3,3,12
1488,0,0,15,0,0,0,Sp2,0,0,12,0,3,0,PAN,SIM,Para,15,3,5,12,3
1495,0,0,0,0,27.5,0,Sp1,0,0,3,0,6,0,SIM,PAN,Para,27.5,5,3,6,3
1495,0,0,12,0,0,0,Sp2,0,0,3,0,6,0,PAN,SIM,Para,12,3,5,3,6
1496,0,0,0,0,16.5,0,Sp1,0,0,3,0,6,0,SIM,PAN,Para,16.5,5,3,6,3
1496,0,0,13.5,0,0,0,Sp2,0,0,3,0,6,0,PAN,SIM,Para,13.5,3,5,3,6
1497,0,0,0,0,26.5,0,Sp1,0,0,3,0,6,0,SIM,PAN,Para,26.5,5,3,6,3
1497,0,0,2,0,0,0,Sp2,0,0,3,0,6,0,PAN,SIM,Para,2,3,5,3,6
